Family;Species;Author;Synonyms;LocalName;FileNamePhoto;FileNameID;Comments;FigOneWidth;FigTwoWidth
Acanthaceae;Barleria cristata ;L.;;Philipine Violett;Barleria_cristata_1.jpg;Barleria_cristata_2.jpg;;;
Acanthaceae;Eranthemum pulchellum;Andrews;;Blue Sage;Eranthemum_pulchellum_1.jpg;Eranthemum_pulchellum_2.jpg;;;
Acanthaceae;Justicia gendarussa;Burn f.;;;Justicia_gendarussa_1.jpg;Justicia_gendarussa_2.jpg;;;
Acanthaceae;Strobilanthes capitata;(Nees) T. Anderson;;;Strobilanthes_capitata_1.jpg;Strobilanthes_capitata_2.png;;;
Acanthaceae;Strobilanthes pentastemonoides;(Nees) T. Anderson;;;Strobilanthes_pentastemonoides_1.jpg;Strobilanthes_pentastemonoides_2.jpg;;;
Adoxaceae;Sambucus adnata;Wall. ex DC;;Asian dwarf elder;Sambucus_adnata_1.jpg;Sambucus_adnata_2.jpg;leaflets 3-5 pairs, adnate ;;
Adoxaceae;Sambucus javanica subsp. chinensis;(Lindl.) Fukuoka;;Himalayan elder;Sambucus_javanica_chinensis_1.jpg;Sambucus_javanica_chinensis_2.jpg;;;
Adoxaceae;Viburnum cotinifolium;D. Don;;Smoketree Leaved Viburnum;Viburnum_cotonifolium_1.jpg;;;;
Adoxaceae;Viburnum cylindricum;Buch.-Ham. Ex D.Don;;Tube flower Viburnum;Viburnum_cylindricum_1.jpg;Viburnum_cylindricum_2.jpg;;;
Adoxaceae;Viburnum erubescens;Wall.;;Reddish Viburnum;Viburnum_erubescens_1.jpg;Viburnum_erubescens_2.jpg;;;
Adoxaceae;Viburnum grandiflorum;Buch.-Ham. ex D. Don;;Grand Viburnum;Viburnum_grandiflorum_1.jpg;Viburnum_grandiflorum_2.jpeg;;;
Adoxaceae;Viburnum mullaha;Wall. ex DC.;;;Viburnum_mullaha_1.jpg;Viburnum_mullaha_2.jpg;;;
Amaranthaceae;Cyathula capitata; Moq.;;Roundhead Pastureweed;Cyathula_capitata_1.jpg;;up to 1m, leaf stalks hairy;;
Amaranthaceae;Cyathula tomentosa;(Roth.) Moq.;;Cottony Chaff Flower;Cyathula_tomentosa_1.jpg;Cyathula_tomentosa_2.jpg;up to 3m, stem and branches hairy;;
Amaranthaceae;Krascheninnikovia ceratoides;(L.) Gueldenst.;;Pamirian winterfat;Krascheninnikovia_ceratoides_1.jpg;Krascheninnikovia_ceratoides_2.jpg;;;
Anacardiaceae;Brucea javanica;(L.) Merr.;;Chinese sumac;Brucea_javanica_1.jpg;Brucea_javanica_2.jpg;;;
Anacardiaceae;Dobinea vulgaris;Buch.-Ham ex D. Don;;;Dobinea_vulgaris_1.jpg;Dobinea_vulgaris_2.jpg;;;
Anacardiaceae;Toxicodendron succedaneum;L.;Rhus succedanea;Wild Varnish Tree;Toxicodendron_succedaneum.jpg;Toxicodendron_succedaneum_2.jpg;;;
Anacardiaceae;Toxicodendron wallichii;(Hook. f.) Kuntze;;;Toxicodendron_wallichii_1.jpg;Toxicodendron_wallichii_2.jpg;;;
Apocynaceae;Hoya lanceolata;Wallich ex D. Don;;;Hoya_lanceolata_1.jpg;Hoya_lanceolata_2.jpg;;;
Apocynaceae;Trachelospermum lucidum;(D.Don) K.Schum.;;;Trachelospermum_lucidum_1.jpeg;Trachelospermum_lucidum_2.jpeg;;;
Aquifoliaceae;Ilex dipyrena;Wallich.;;Himalayan Holly Tree;Ilex_dipyrena_1.jpg;Ilex_dipyrena_2.jpg;;;
Aquifoliaceae;Ilex excelsa;(Wall.) Voigt;;;Ilex_excelsa.jpg;Ilex_excelsa_1.jpg;;;
Aquifoliaceae;Ilex fragilis;Hook.f.;;;Ilex_fragilis_1.jpg;Ilex_fragilis_2.jpg;;;
Araliaceae;Aralia leschenaultii;(DC.) J.Wen;;;Aralia_leschenaultii_1.jpg;;;;
Araliaceae;Brassaiopsis glomerulata;(Blume) Regel;;;Brassaiopsis_glomerulata_1.jpg;Brassaiopsis_glomerulata_2.jpg;;;
