Species;Family;Author;Synonyms;LocalName;Comments;FileNamePhoto;FileNameID;Location;LocationColour;FigOneWidth;FigTwoWidth
Achyranthes aspera;Amaranthaceae;L.;;;;Achyranthes_aspera_close.jpg;Achyranthes_aspera_sketch.jpg;\textcolor{green}{SS};;;
Achyranthes aspera var sicula;Amaranthaceae;L.;Achyranthes sicula (L.) All.;;Underside of leaf white felty;Achyranthes_sicula_photo.jpg;Achyranthes_sicula_ID.jpg;;;;
Chenopodiastrum murale;Amaranthaceae;(L.) S.Fuentes;;;;Chenopodiastrum_murale_flower_1.jpg;Chenopodiastrum_murale_flower_2.jpg;;;;
Chenopodium album;Amaranthaceae;L.;;;;Chenopodium_album_flower.jpg;Chenopodium_album_sketch.jpg;;;;
Allium canariense;Amaryllidaceae;(Regel) N.Friesen \& P.Schönfelder;;;;Allium_canariense_flower.jpg;Allium_canariense_whole.jpg;;;;
Allium roseum;Amaryllidaceae;L.;;;;Allium_roseum_flower.jpg;Allium_roseum_whole.jpg;;;;
Pistacia atlantica;Anacardiaceae;Desf.;;;;Pistacia_atlantica_close.jpg;Pistacia_atlantica_whole.jpg;;;;
Rhus coriaria;Anacardiaceae;L.;;;;Rhus_coriaria_close.jpg;Rhus_coriaria_whole.jpg;;;;
Anthriscus sylvestris;Apiaceae;(L.) Hoffm.;;;;Anthriscus_sylvestris_leaf.jpg;Anthriscus_sylvestris_flower.jpg;;;;
Astydamia latifolia;Apiaceae;(L.f.) Baill.;;;;Astydamia_latifolia_close.jpg;Astydamia_latifolia_whole.jpg;\textcolor{green}{SS};;;
Athamanta cervariifolia;Apiaceae;(DC.) DC.;Tinguarra cerviariifolia (DC.) Parl.;;;Athamanta cervariifolia_photo.jpg;Athamanta cervariifolia_ID.jpg;\textcolor{green}{SS};;;
Daucus carota;Apiaceae;L.;;;;Daucus_carota_flower.jpg;Daucus_carota_sketch.jpg;;;;
Drusa glandulosa;Apiaceae;(Poir.) H.Wolff ex Engl.;;;;Drusa_glandulosa_leaf.jpg;Drusa_glandulosa_flower.jpg;;;;
Ferula communis ssp linkii;Apiaceae;(Webb) Reduron \& Dobignard;;;;Ferula_linkii_photo.jpg;Ferula_linkii_ID.jpg;;;;
Foeniculum vulgare;Apiaceae;Mill.;;;;Foeniculum_vulgare_photo.jpg;Foeniculum_vulgare_ID.jpg;;;;
Pimpinella dendroselinum;Apiaceae;Webb;;;;Pimpinella_dendroselinum_photo.jpg;Pimpinella_dendroselinum_ID.jpg;\textcolor{green}{SS};;;
Scandix pecten-veneris;Apiaceae;L.;;;;Scandix_pecten-veneris_flower.jpg;Scandix_pecten-veneris_whole.jpg;;;;
Todaroa aurea ssp suaveolens;Apiaceae;P.Pérez;;;;Todaroa_aurea_suaveolens_photo.jpg;Todaroa_aurea_suaveolens_ID.jpg;\textcolor{green}{SS};;;
Torilis arvensis ssp neglecta;Apiaceae;(Schult.) Thell.;;;;Torilis_arvensis_neglecta_photo.jpg;Torilis_arvensis_ID.jpg;;;;
Ceropegia dichotoma;Apocynaceae;Haw.;;;;Ceropegia_dichotoma_photo.jpg;;\textcolor{red}{NN};;;
Nerium oleander;Apocynaceae;L.;;;;Nerium_oleander_close.jpg;Nerium_oleander_whole.jpg;;;;
Periploca laevigata;Apocynaceae;Aiton;;;;Periploca_laevigata_flower.jpg;Periploca_laevigata_close.jpg;;;;
Ilex canariensis;Aquifoliaceae;Poir.;;;;Ilex_canariensis_photo;Ilex_canariensis_FID;\textcolor{red}{NN}, \textcolor{green}{SS};;;
Colocasia esculenta;Araceae;(L.) Schott;;;;Colocasia_esculenta_leaf.jpg;Colocasia_esculenta_flower_1.jpg;;;;
Zantedeschia aethiopica;Araceae;(L.) Spreng.;;;;Zantedeschia_aethiopica_flower.jpg;Zantedeschia_aethiopica_whole.jpg;;;;
Hedera canariensis;Araliaceae;Willd.;;;;Hedera_canariensis_leaf.jpg;Hedera_canariensis_flower.jpg;;;;
Hedera helix ;Araliaceae;L.;;;;Hedera_helix_photo;Hedera_helix_ID;;;;
Agave americana;Asparagaceae;L.;;;;Agave_americana_whole.jpg;Agav_americana_ID;;;;
Asparagus asparagoides;Asparagaceae;(L.) Druce;;;;Asparagus_asparagoides_close.jpg;Asparagus_asparagoides_whole.jpg;;;;
Asparagus scoparius;Asparagaceae;Lowe;;;;Asparagus_scoparius_leaf.jpg;Asparagus_scoparius_whole.jpg;;;;
Semele androgyna;Asparagaceae;(L.) Kunth;;;;Semele_androgyna_flower.jpg;Semele_androgyna_whole.jpg;;;;
Asphodelus aestivus;Asphodelaceae;Brot.;;;;Asphodelus_aestivus_flower.jpg;Asphodelus_aestivus_whole.jpg;;;;
Asphodelus ramosus;Asphodelaceae;L.;;;;Asphodelus_ramosus_flower.jpg;Asphodelus_ramosus_whole.jpg;;;;
Asplenium adiantum-nigrum;Aspleniaceae;L.;;;;Asplenium_adiantum-nigrum_leaf.jpg;Asplenium_adiantum-nigrum_sketch.jpg;;;;
Asplenium hemionitis;Aspleniaceae;L.;;;;Asplenium_hemionitis_leaf.jpg;Asplenium_hemionitis_sketch.jpg;;;;
Asplenium onopteris;Aspleniaceae;L.;;;;Asplenium_onopteris_leaf_top.jpg;Asplenium_onopteris_leaf_under.jpg;\textcolor{red}{NN};;;
Diplazium caudatum;Aspleniaceae;(Cav.) Jermy;;;;Diplazium_caudatum_leaf_top.jpg;Diplazium_caudatum_leaf_under.jpg;;;;
Ageratina adenophora;Asteraceae;(Spreng.) R.M.King \& H.Rob.;;;;Ageratina_adenophora_photo;Ageratina_adenophora_ID;\textcolor{red}{NN}, \textcolor{green}{SS};;;
Ageratina riparia;Asteraceae;(Regel) R.M.King \& H.Rob.;;;;Ageratina_riparia_leaf.jpg;Ageratina_riparia_flower.jpg;\textcolor{red}{NN};;;
Andryala integrifolia;Asteraceae;L.;;;;Andryala_integrifolia_flower_1.jpg;Andryala_integrifolia_flower_2.jpg;;;;
Argyranthemum frutescens ssp frutescens;Asteraceae;(L.) Sch.Bip.;;;;Argyranthemum_frutescens_frutescens_photo.jpg;;\textcolor{red}{NN}, \textcolor{green}{SS};;;
Argyranthemum haouarytheum;Asteraceae;Humphries \& Bramwell;;;;Argyranthemum_haouarytheum_photo.jpg;Argyranthemum_frutescens_ID;\textcolor{red}{NN};;;
Argyranthemum webbii;Asteraceae;Sch.Bip.;;;;Argyranthemum_webbii_photo.jpg;;\textcolor{red}{NN};;;
Asteriscus aquaticus;Asteraceae;(L.) Less.;;;;Asteriscus_aquaticus_flower.jpg;Asteriscus_aquaticus_whole.jpg;;;;
Bidens pilosa;Asteraceae;L.;;;;Bidens_pilosa_flower.jpg;Bidens_pilosa_close.jpg;;;;
Calendula arvensis;Asteraceae;L.;;;;Calendula_arvensis_whole.jpg;Calendula_arvensis_sketch.jpg;;;;
Calendula officinalis;Asteraceae;L.;;;;Calendula_officinalis_whole.jpg;Calendula_officinalis_sketch.jpg;;;;
Carlina falcata;Asteraceae;Svent.;;;;Carlina_falcata_leaf.jpg;Carlina_falcata_flower.jpg;\textcolor{green}{SS};;;
Carlina salicifolia;Asteraceae;(L.f.) Cav.;;;;Carlina_salicifolia_flower.jpg;Carlina_salicifolia_close.jpg;;;;
Centaurea melitensis;Asteraceae;L.;;;;Centaurea_melitensis_flower.jpg;Centaurea_melitensis_close.jpg;;;;
Cerastium fontanum;Asteraceae;Baumg.;;;;Cerastium fontanum_photo.jpg;Cerastium_fontanum_ID.jpg;;;;
Cheirolophus sventenii ssp sventenii;Asteraceae;(A.Santos) G.Kunkel;;;flowerstem  10- 15 cm;Cheirolophus_sventenii_gracilis_photo;Cheirolophus_sventenii_sventenii_ID;\textcolor{red}{NN};;;
Cotula australis;Asteraceae;Hook.f.;;;;Cotula_australis_close.jpg;Cotula_australis_whole.jpg;;;;
Crepis canariensis;Asteraceae;(Sch.Bip.) Babc. ex Jenkins;;;;Crepis_canariensis_flower.jpg;Crepis_canariensis_whole.jpg;;;;
Erigeron canadensis;Asteraceae;L.;;;;Erigeron_canadensis_leaf.jpg;Erigeron_canadensis_flower.jpg;;;;
Erigeron floribundus;Asteraceae;(Kunth) Sch.Bip.;;;;Erigeron_floribundus_specimen.jpg;;;;;
Galactites tomentosus;Asteraceae;Moench;;;;Galactites_tomentosus_flower.jpg;Galactites_tomentosus_close.jpg;;;;
Galinsoga parviflora;Asteraceae;Cav.;;;;Galinsoga_parviflora_close.jpg;Galinsoga_parviflora_close_2.jpg;;;;
Galinsoga quadriradiata;Asteraceae;Ruiz \& Pav.;;;;Galinsoga_quadriradiata_leaf.jpg;Galinsoga_quadriradiata_close.jpg;;;;
Hedypnois arenaria;Asteraceae;(Schousb.) DC.;;;;Hedypnois_arenaria_photo;Hedypnois_arenaria_ID;;;;
Hedypnois rhagadioloides;Asteraceae;(L.) F.W.Schmidt;;;;Hedypnois_rhagadioloides_leaf.jpg;Hedypnois_rhagadioloides_flower.jpg;;;;
Helminthotheca echioides;Asteraceae;(L.) Holub;;;;Helminthotheca_echioides_flower.jpg;Helminthotheca_echioides_whole.jpg;;;;
"Kleinia neriifolia;Asteraceae;Haw.;;;;Kleinia_neriifolia_photo.jpg;Kleinia_neriifolia_ID.jpg;\textcolor{red}{NN}, \textcolor{green}{SS};";Asteraceae;Haw.;;;;Kleinia_neriifolia_photo.jpg;Kleinia_neriifolia_ID.jpg;\textcolor{red}{NN}, \textcolor{green}{SS};;;
Lactuca palmensis;Asteraceae;Bolle;;;;Lactuca_palmensis_flower.jpg;Lactuca_palmensis_whole.jpg;\textcolor{green}{SS};;;
Leontodon longirostris;Asteraceae;(Finch \& P.D.Sell) Talavera;Leontodon rothii Ball;;;Leontodon_longirostris_flower.jpg;Leontodon_longirostris_whole.jpg;;;;
Leontodon saxatilis;Asteraceae;Lam.;;;;leontodon_saxatilis_photo.jpg;Leontodon_saxatilis_ID.jpg;;;;
Logfia gallica;Asteraceae;(L.) Coss. \& Germ.;;;;Logfia_gallica_flower.jpg;Logfia_gallica_whole.jpg;;;;
Pallenis spinosa;Asteraceae;(L.) Cass.;;;;Pallenis_spinosa_photo.jpg;Pallenis_spinosa_ID.jpg;;;;
"Pericallis papyracea;Asteraceae;(DC.) B.Nord.;;;;;;\textcolor{red}{NN}, \textcolor{green}{SS};";Asteraceae;(DC.) B.Nord.;;;;Pericallis_papyracea_photo;Pericallis_papyracea_ID;\textcolor{red}{NN}, \textcolor{green}{SS};;;
Phagnalon rupestre;Asteraceae;(L.) DC.;;;;Phagnalon_rupestre_close.jpg;Phagnalon_rupestre_whole.jpg;;;;
Phagnalon saxatile;Asteraceae;(L.) Cass.;;;;Phagnalon_saxatile_close.jpg;Phagnalon_saxatile_whole.jpg;;;;
Phagnalon umbelliforme;Asteraceae;DC.;;;;Phagnalon_umbelliforme_photo.jpg;Phagnalon_umbelliforme_ID.jpg;\textcolor{green}{SS};;;
Ptilostemon hispanicus;Asteraceae;(Lam.) Greuter;;;;Ptilostemon_hispanicus_flower.jpg;Ptilostemon_hispanicus_close.jpg;;;;
Reichardia ligulata;Asteraceae;(Vent.) G.Kunkel \& Sunding;;;;Reichardia_ligulata_flower.jpg;Reichardia_ligulata_whole.jpg;\textcolor{red}{NN};;;
Reichardia picroides;Asteraceae;(L.) Roth;;;;Reichardia_picroides_whole.jpg;;;;;
Schizogyne sericea;Asteraceae;(L.f.) DC.;;;;Schizogyne_sericea_ID.jpg;Schizogyne_sericea_photo.jpg;\textcolor{green}{SS};;;
Senecio vulgaris;Asteraceae;L.;;;;Senecio_vulgaris_whole.jpg;Senecio_vulgaris_sketch.jpg;;;;
Sonchus arboreus;Asteraceae;(Brouss.) DC.;;;;Sonchus_arboreus_photo.jpg;Sonchus_arboreus_ID.jpg;;;;
