Family;Species;Author;Synonyms;LocalName;FileNamePhoto;FileNameID;Comments;FigOneWidth;FigTwoWidth
Amaryllidaceae;Allium senescens;Lam.;Allium lusitanicum;Berg-Lauch;Allium_lusitanicum_1.jpg;Allium_lusitanicum_2.jpg;;;
Asteraceae;Anthemis tinctoria;L.;Cota tinctoria;Färber-Hundskamille;Cota_tinctoria_1.jpg;Cota_tinctoria_2.jpg;;;
Rosaceae;Aria edulis;aggr.;Sorbus aria;Gewöhnliche Mehlbeere;Sorbus_aria_1.jpg;Sorbus_aria_2.jpg;;;
Brassicaceae;Cardaminopsis petraea;L.;Arabidopsis lyrata subsp. petraea;Arabis petraea;Arabidopsis_petraea_1.jpg;Arabidopsis_petraea_2.jpg;;;
Papaveraceae;Corydalis alba (Mill.) Mansf.;(Mill.) Lidén;Pseudo-fumaria alba;Blassgelber Lerchensporn ;pseudofumaria_alba_photo.jpg;pseudofumaria_alba_ID.png;;;
Orobanchaceae;Euphrasia rostkoviana;(Hayne) F. Towns.;Euphrasia officinalis subsp. rostkoviana;Gewöhnlicher Augentrost;Euphrasia_officinalis_1.jpg;Euphrasia_officinalis_2.jpg;;;
Plantaginaceae;Globularia punctata;L.;Globularia bisnagarica;Gewöhnliche Kugelblume;Globularia_bisnagarica_1.jpg;Globularia_bisnagarica_2.jpg;;;
Lamiaceae;Lamium galeobdolon;L.;Galeobdolon luteum;Echte Goldnessel;Galeobdolon_luteum_1.jpg;Galeobdolon_luteum_2.jpg;Lamium galeobdolon (L.) L. subsp. galeobdolon;;
Asteraceae;Leucanthemum ircutianum;L.;Leucanthemum vulgare;Wiesen-Margerite;Leucanthemum_vulgare_1.jpg;Leucanthemum_vulgare_2.jpg;;;
Apiaceae;Libanotis pyrenaica;(L.) W. D. J. Koch;Seseli libanotis;Berg-Heilwurz;Seseli_libanotis_1.jpg;Seseli_libanotis_2.jpg;;;
Aspleniaceae;Phyllitis scolopendrium;(L.) Newman;Asplenium scolopendrium;Hirschzunge;Asplenium_scolopendrium_1.jpg;Asplenium_scolopendrium_2.jpg;;;
Asteraceae;Pilosella auriculoides;Tausch;Hieracium calodon;Pannonisches Mausohrhabichtskraut;Hieracium_calodon_1.jpg;;;;
Asteraceae;Pilosella officinarum;L.;Hieracium pilosella;Mausohrhabichtskraut;Hieracium_pilosella_1.jpg;Hieracium_pilosella_2.jpg;;;
Rosaceae;Potentilla tabernaemontani;L.;Potentilla verna;Frühlings-Fingerkraut;Potentilla_verna_1.jpg;Potentilla_verna_2.jpg;;;
Brassicaceae;Pseudoturritis turrita;L.;Arabis turrita;Turmgänsekresse;Arabis_turrita_1.jpg;Arabis_turrita_2.jpg;;;
Crassulaceae;Sedum reflexum;L.;Sedum rupestre;Felsen-Fetthenne;Sedum_rupestre_1.jpg;Sedum_rupestre_2.jpg;;;
Crassulaceae;Sedum telephium subsp. maximum;(L.) Kirschl.;Hylotelephium maximum;Große Waldfetthenne;Hylotelephium_maximum_1.jpg;Hylotelephium_maximum_2.jpg;;;
Crassulaceae;Sedum telephium, Sedum maximum;(L.) H. Ohba.;Hylotelephium telephium;Große Waldfetthenne;Hylotelephium_telephium_1.jpg;Hylotelephium_telephium_2.jpg;Subsp. telephium for image 1;;
Fabaceae;Senecio jacobea;L.;Jacobaea vulgaris;Jakobs Greiskraut;Jacobaea_vulgaris_1.jpg;Jacobaea_vulgaris_2.jpg;;;
Poaceae;Sesleria albicans;L.;Sesleria caerulea;Kalk-Blaugras;sesleria_caerulea_photo.jpg;sesleria_caerulea_ID.png;;;
Rosaceae;Sorbus franconica;(Bornm.) Sennikov \& Kurtto;Karpatiosorbus franconica;;Karpatiosorbus_franconica_1;;;;
Brassicaceae;Thlaspi montanum;(L.) F.K.Mey.;Noccaea montana;Berg-Täschelkraut;Noccaea_montana_3.jpg;Noccaea_montana_2.jpg;;;
